Track name,Artist name,Album,Playlist name,Type
Vision Quest,Harold Becker,,My playlist,playlist
Shout,Lloyd Williams,,My playlist,playlist
A Child Is Born,Rihanna,,My playlist,playlist
Misletoe,Colbie Caillat,,My playlist,playlist
Wonderful Christmastime,Kelly Rowland,,My playlist,playlist
Where Are You Christmas,Faith Hill,,My playlist,playlist
Rockin' Around the Christmas Tree,Merle Haggard & Toby Keith,,My playlist,playlist
So Good (feat. Ty Dolla $ign),Zara Larsson,,My playlist,playlist
Louie, Louie,John Belushi,,My playlist,playlist
Shama Lama Ding Dong,Lloyd Williams,,My playlist,playlist
O' Come All Ye Faithful,Celtic Woman, Mairead Nesbitt, Chloe Agnew, Lisa Kelly, Méav & Órla Fallon,,My playlist,playlist
Money (That's What I Want),John Belushi,,My playlist,playlist
Dream Girl,Stephen Bishop,,My playlist,playlist
The Twelve Days of Christmas,Royal College of Music Chamber Choir,,My playlist,playlist
Deck the Halls,Chip Davis,,My playlist,playlist
