title,artist,album,isrc,isFound
"Feels So Good","Chuck Mangione",,,1
"El Condor Pasa (If I Could)","Simon & Garfunkel",,,0
Shivers,"Ed Sheeran",,,1
"10,000 Hours","Dan + Shay & Justin Bieber",,,1
"Fancy Like","Walker Hayes",,,1
"Heartbreak Anthem","Galantis, David Guetta & Little Mix",,,1
"The Dangling Conversation","Simon & Garfunkel",,,0
"Scarborough Fair / Canticle","Simon & Garfunkel",,,0
"Steal My Thunder (feat. Tucker Wetmore)","Conner Smith",,,0
"The Only Living Boy in New York","Simon & Garfunkel",,,0
"Leave (Get Out)",JoJo,,,0
"You Proof","Morgan Wallen",,,1
"Thinkinâ€™ Bout Me","Morgan Wallen",,,0
"I Am a Rock","Simon & Garfunkel",,,0
"I Don't Care","Ed Sheeran & Justin Bieber",,,1
"I Still Do","Why Don't We",,,1
"Just A Kiss","Lady A",,,1
"Dance The Night","Dua Lipa",,,1
"Homeward Bound","Simon & Garfunkel",,,0
"The Sound of Silence (Electric Version)","Simon & Garfunkel",,,0
"Take My Breath","The Weeknd",,,1
"Hold On","Justin Bieber",,,1
Levitating,"Dua Lipa",,,1
"Cruel Summer","Taylor Swift",,,1
"My Little Town","Simon & Garfunkel",,,0
"My Love (feat. Jess Glynne)","Route 94",,,0
America,"Simon & Garfunkel",,,0
"For Emily, Whenever I May Find Her (Live in St. Louis, MO - November 1969)","Simon & Garfunkel",,,0
"Just Between You and Me (2002 Remastered)","April Wine",,,1
"At the Zoo","Simon & Garfunkel",,,0
"Lil Boo Thang","Paul Russell",,,1
Anti-Hero,"Taylor Swift",,,1
"Regulate (feat. Nate Dogg)","Warren G",,,0
"Say So","Doja Cat",,,1
"The 59th Street Bridge Song (Feelin' Groovy)","Simon & Garfunkel",,,0
"Cold Heart (PNAU Remix)","Elton John & Dua Lipa",,,0
STAY,"The Kid LAROI & Justin Bieber",,,1
"Bridge Over Troubled Water","Simon & Garfunkel",,,0
Cecilia,"Simon & Garfunkel",,,0
positions,"Ariana Grande",,,1
"Levitating (feat. DaBaby)","Dua Lipa",,,1
"Savage Love (Laxed - Siren Beat)","Jawsh 685 x Jason Derulo",,,0
"Twist Of Fate (Remastered 2021)","Olivia Newton-John",,,1
"The Boxer","Simon & Garfunkel",,,0
"Old Friends / Bookends (Single Mix)","Simon & Garfunkel",,,0
"Mrs. Robinson (From ""The Graduate"" Soundtrack)","Simon & Garfunkel",,,0
"Fakin' It","Simon & Garfunkel",,,0
Longer,"Dan Fogelberg",,,1
"I'm Not in Love (Edit)",10cc,,,1
"Love Will Find a Way","Pablo Cruise",,,1
"We Just Disagree","Dave Mason",,,1
"I Just Wanna Stop","Gino Vannelli",,,1
"Jackie Blue (Single Version)","The Ozark Mountain Daredevils",,,0
"Crazy Love",Poco,,,1
"How Long (Single Version)",Ace,,,0
"Couldn't Get It Right","Climax Blues Band",,,1
"Brandy (You're a Fine Girl)","Looking Glass",,,0
"Baby Come Back (Single Version)",Player,,,1
"What You Won't Do for Love","Bobby Caldwell",,,1
"Escape (The Pina Colada Song)","Rupert Holmes",,,0
"HARRYHAUSEN DOUBLE FEATURE","Unknown Artist",,,0
