Artist,Song Name
Harold Becker,Vision Quest
MC Hammer,U Can't Touch This
Lloyd Williams,Shout
Paul Davis,I Go Crazy (Single Version)
Charlie Puth,We Don’t Talk Anymore (feat. Selena Gomez)
Queen,Bohemian Rhapsody
Cheap Trick,Surrender
Christina Aguilera,What a Girl Wants
Fifth Harmony,Work from Home (feat. Ty Dolla $ign)
Trans-Siberian Orchestra,Christmas Canon
Donny Hathaway,This Christmas
Ambrosia,You're the Only Woman (You & I)
Maroon 5,What Lovers Do (feat. SZA)
Christina Aguilera,Come On Over Baby (All I Want Is You) [Radio Version]
Silver,Wham Bam Shang-A-Lang
Midnight Star,Midas Touch
The S.O.S. Band,Take Your Time (Do It Right)
Paul Davis,Cool Night
The S.O.S. Band,"Just Be Good to Me (12"" Vocal Remix)"
Aly & AJ,Potential Breakup Song
Luther Vandross,Here and Now
Miguel,Sure Thing
Bruno Mars,24K Magic
Bee Gees,Emotion
Bing Crosby & David Bowie,Peace On Earth / The Little Drummer Boy
Kool & The Gang,Get Down on It
The Temptations,Silent Night
Michael McDonald & Patti LaBelle,On My Own (Single)
Elvis Presley,Blue Christmas (feat. Royal Philharmonic Orchestra) [2017 Version]
Queen,You're My Best Friend
Quad City DJ's,C'mon n' Ride It (The Train)
José Feliciano,Feliz Navidad
Gene Autry & The Pinafores,"Rudolph, the Red-Nosed Reindeer"
Andy Gibb,Shadow Dancing
Burl Ives,A Holly Jolly Christmas (Single Version)
Andy Williams,It's the Most Wonderful Time of the Year
Dean Martin,"Let It Snow, Let It Snow, Let It Snow"
Cat Stevens,Father and Son
Hailee Steinfeld & Grey,Starving (feat. Zedd)
Johnny Mathis,It's Beginning to Look a Lot Like Christmas
Miley Cyrus,Party In the U.S.A.
Electric Light Orchestra,Mr. Blue Sky
Montell Jordan,This Is How We Do It
George Harrison,My Sweet Lord
SWV,I'm So Into You
Electric Light Orchestra,Strange Magic
Sean Kingston,Take You There
Glen Campbell,Southern Nights
Gwen Stefani,Cool
Sheila E.,The Glamorous Life
Rob Thomas,Little Wonders
Jennifer Paige,Crush
SWV,Weak
T'Pau,Heart and Soul
OneRepublic,Secrets
"Earth, Wind & Fire",September
Jay & The Americans,Come a Little Bit Closer
Looking Glass,Brandy (You're a Fine Girl)
Bruno Mars,Finesse
DeBarge,I Like It
CeeLo Green & Timbaland,I'll Be Around (feat. Timbaland) [Radio Mix]
The Cars,Tonight She Comes
Steve Winwood,Don't You Know What the Night Can Do?
Ellie Goulding,Love Me Like You Do
The Cars,You Are the Girl
Liam Payne,Strip That Down (feat. Quavo)
"Earth, Wind & Fire",After the Love Has Gone
Daryl Hall & John Oates,Sara Smile
"Earth, Wind & Fire & The Emotions",Boogie Wonderland
"Earth, Wind & Fire",Let's Groove
Molly Hatchet,Flirtin' With Disaster
Genesis,Abacab
Cheryl Lynn,Got to Be Real (Single Version)
The J. Geils Band,Come Back
Genesis,No Reply at All
Bruno Mars,That's What I Like (Remix) [feat. Gucci Mane]
Digital Underground,The Humpty Dance
AC/DC,Have a Drink On Me
Gerry Rafferty,Right Down the Line
Steve Winwood,Back In the High Life Again
Steve Winwood,Higher Love
Mariah Carey,Fantasy
Steve Winwood,The Finer Things
Daryl Hall & John Oates,I Can't Go for That (No Can Do)
Owl City & Carly Rae Jepsen,Good Time
Whitesnake,Is This Love
Steve Winwood,Roll With It
Janet Jackson,All for You
REO Speedwagon,Keep On Loving You (2024 Remaster)
Daryl Hall & John Oates,Out of Touch
Ariana Grande,no tears left to cry
Boyz II Men,Motownphilly
Mariah Carey,Heartbreaker (feat. JAY-Z)
Charlie Puth,How Long
Color Me Badd,All 4 Love
Hi-Five,I Like the Way (The Kissing Game)
The Manhattans,Shining Star
Captain & Tennille,Do That to Me One More Time
The Whispers,And the Beat Goes On
Sam Smith,Have Yourself a Merry Little Christmas
The Goo Goo Dolls,Iris
Michael Jackson & Justin Timberlake,Love Never Felt So Good
Sean Kingston,Letting Go (Dutty Love) [feat. Nicki Minaj]
One Direction,What Makes You Beautiful
Ariana Grande,Winter Things
Pentatonix,"Mary, Did You Know?"
Justin Bieber,Mistletoe
