Artist,Song
Chuck Mangione,Feels So Good
Simon & Garfunkel,El Condor Pasa (If I Could)
Ed Sheeran,Shivers
Dan + Shay & Justin Bieber,"10,000 Hours"
Walker Hayes,Fancy Like
"Galantis, David Guetta & Little Mix",Heartbreak Anthem
Simon & Garfunkel,The Dangling Conversation
Simon & Garfunkel,Scarborough Fair / Canticle
Conner Smith,Steal My Thunder (feat. Tucker Wetmore)
Simon & Garfunkel,The Only Living Boy in New York
JoJo,Leave (Get Out)
Morgan Wallen,You Proof
Morgan Wallen,Thinkinâ€™ Bout Me
Simon & Garfunkel,I Am a Rock
Ed Sheeran & Justin Bieber,I Don't Care
Why Don't We,I Still Do
Lady A,Just A Kiss
Dua Lipa,Dance The Night
Simon & Garfunkel,Homeward Bound
Simon & Garfunkel,The Sound of Silence (Electric Version)
The Weeknd,Take My Breath
Justin Bieber,Hold On
Dua Lipa,Levitating
Taylor Swift,Cruel Summer
Simon & Garfunkel,My Little Town
Route 94,My Love (feat. Jess Glynne)
Simon & Garfunkel,America
Simon & Garfunkel,"For Emily, Whenever I May Find Her (Live in St. Louis, MO - November 1969)"
April Wine,Just Between You and Me (2002 Remastered)
Simon & Garfunkel,At the Zoo
Paul Russell,Lil Boo Thang
Taylor Swift,Anti-Hero
Warren G,Regulate (feat. Nate Dogg)
Doja Cat,Say So
Simon & Garfunkel,The 59th Street Bridge Song (Feelin' Groovy)
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
The Kid LAROI & Justin Bieber,STAY
Simon & Garfunkel,Bridge Over Troubled Water
Simon & Garfunkel,Cecilia
Ariana Grande,positions
Dua Lipa,Levitating (feat. DaBaby)
Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat)
Olivia Newton-John,Twist Of Fate (Remastered 2021)
Simon & Garfunkel,The Boxer
Simon & Garfunkel,Old Friends / Bookends (Single Mix)
Simon & Garfunkel,"Mrs. Robinson (From ""The Graduate"" Soundtrack)"
Simon & Garfunkel,Fakin' It
Dan Fogelberg,Longer
10cc,I'm Not in Love (Edit)
Pablo Cruise,Love Will Find a Way
Dave Mason,We Just Disagree
Gino Vannelli,I Just Wanna Stop
The Ozark Mountain Daredevils,Jackie Blue (Single Version)
Poco,Crazy Love
Ace,How Long (Single Version)
Climax Blues Band,Couldn't Get It Right
Looking Glass,Brandy (You're a Fine Girl)
Player,Baby Come Back (Single Version)
Bobby Caldwell,What You Won't Do for Love
Rupert Holmes,Escape (The Pina Colada Song)
Unknown Artist,HARRYHAUSEN DOUBLE FEATURE
